1.86 0.833263 -3.90943
1.87 0.792119 -4.31594
1.88 0.747016 -4.70089
1.89 0.698179 -5.06234
1.9 0.645854 -5.39849
1.91 0.5903 -5.70765
1.92 0.531796 -5.98829
1.93 0.470634 -6.239
1.94 0.40712 -6.45853
1.95 0.341571 -6.64579
1.96 0.274315 -6.79982
1.97 0.205688 -6.91987
1.98 0.136032 -7.00534
1.99 0.0656976 -7.05579
2 -0.00496572 -7.07098
2.01 -0.0756042 -7.05083
2.02 -0.145865 -6.99544
2.03 -0.215396 -6.90509
2.04 -0.283851 -6.78022
2.05 -0.350888 -6.62147
2.06 -0.41617 -6.42963
2.07 -0.479373 -6.20565
2.08 -0.54018 -5.95065
2.09 -0.598287 -5.66592
2.1 -0.653404 -5.35286
2.11 -0.705255 -5.01306
2.12 -0.753581 -4.6482
2.13 -0.798142 -4.2601
2.14 -0.838713 -3.85072
2.15 -0.875092 -3.42209
2.16 -0.907097 -2.97636
2.17 -0.934569 -2.51575
2.18 -0.95737 -2.04257
2.19 -0.975387 -1.55918
2.2 -0.988528 -1.06799
2.21 -0.996729 -0.571472
2.22 -0.999948 -0.0720953
2.23 -0.998169 0.427642
2.24 -0.991402 0.925242
2.25 -0.97968 1.41822
2.26 -0.963061 1.90411
2.27 -0.94163 2.38048
2.28 -0.915492 2.84495
2.29 -0.884778 3.29521
2.3 -0.849642 3.72899
2.31 -0.81026 4.14414
2.32 -0.766829 4.53858
2.33 -0.719564 4.91033
2.34 -0.668704 5.25754
2.35 -0.614501 5.57848
2.36 -0.557227 5.87153
2.37 -0.497168 6.13524
2.38 -0.434625 6.36828
2.39 -0.369909 6.5695
2.4 -0.303344 6.73788
2.41 -0.235263 6.87259
2.42 -0.166007 6.97295
2.43 -0.0959207 7.03846
2.44 -0.025355 7.06879
2.45 0.0453374 7.0638
2.46 0.115803 7.02349
2.47 0.18569 6.94809
2.48 0.254649 6.83796
2.49 0.322335 6.69365
2.5 0.388411 6.51589
2.51 0.452545 6.30556
2.52 0.514417 6.06372
